Date,Brewery,Name,Description,Aroma,Taste,Finish,Rating,
N/A,Wellington Brewery,Special Pale Ale,Dark Brown ,Slightly bitter scent; smells like a beer ,Carbonated; slightly bitter,Hint of wheat; bitter aftertaste,5,
5/17/2019,Dust Bowl Brewing Co.,Taco Truck Lager,Amber clear,"Honey, malty","Slightly bitter, crisp, hints of bready flavours",Dry finish,5,
1/8/2019,Nickel Brook,Wicked Awesome IPA,"Murky, orange","Fruity, tropical IPA aroma ","Standard IPA taste, fruity, hoppy",Slightly hoppy finish,5,
N/A,The Collingwood Brewery,3-point Saison,"Amber, transparent, inch-half of head","Yeasty, citrusy aroma","
Fizzy, slightly sweet","
Weird finish, sort of like orange peels",4,
10/2/2018,Bobcaygon Brewing Company,Birch Bark,Cloudy pale yellow ,"Distinct IPA aroma: hoppy, slightly fruity","Tastes like any other IPA, though a tad on the weaker side ","Weird, alcoholic finish, as if I'd just drank some stronger liquer",4,
1/18/2019,Mill Street Brewery,Cobblestone Nitro Stout,"Dark brown, coffee-like head","Coffee aroma, hint of malt","Hint  of milk chocolate taste, coffee, quite bitter","Malty, slighty bitter aftertaste",4,
N/A,Abe Erb,Daybreak,"Pale straw color, cloudy",Fruity aromas,"Bitter flavours stand out too much, slightly creamy",Dry finish,4,
5/29/2019,Black Hammer Brewing,Deeeper Haus stout,Dark brown,"Faint chocolate, coffee bean","Oddly bitter and tart, there is nothing else in this beer","Very bitter finish, hint of oats",4,
5/17/2019,21st Amendment Brewery,El Sully Lager,"Clear, yellow ochre","Orange, bready aroma","Quite dry, hint of wheat sweetness",Dry finish,4,
N/A,Whitewater Brewing Company,Farmer's Daughter,Pale yellow,Not much aroma,Light beer taste,Clean Finish,4,
5/15/2019,Sierra Nevada Brewing Co.,Hazy Little Thing IPA,Cloudy yellow,"Standard IPA aromas, tropical","Watered down hoppy, fruity flavours",Slightly bitter finish,4,
4/23/2019,Alexander Keith's Brewery,Keith's IPA,Yellow ochre,"Weird piss-like scent, musky","Fizzy, bready, less of a flavour profile than expected, crisp, slightly bitter",Flat finish,4,
2/14/2019,Creemore Springs,Mad and Noisy - Coconut Porter,Black,"Caramel-y , malty aroma","Malty, roasted flavours, really light; no hint of coconut despite what the name suggests","Roasty, burnt malt finish",4,
10/9/2018,Abe Erb,Oat'oberfest,"Cloudy, dark orange",Not much aroma,Not getting a whole lot from this; slight carbonation; light bready flavours,Just dies; sort of like drinking water,4,
4/5/2019,Holsten Brewery,Permium Beer,"Golden, clear","Not much aroma, hint of lemon","Tastes like a generic beer, hint of hops, crisp, clean ",Clean ,4,
9/25/2018,Abe Erb,Prinz of Darkness,Dark brown,"Not much aroma, bit of sweetness","Strong hoppy flavours, not getting much of anything else. Doesn't really taste like a dark beer",Bitter finish,4,
N/A,Amsterdam Brewery,San Rafael '71 Pale  Ale,"Murky, orange","Fruity, citrus aroma","Wheaty, hoppy flavour, sort of like a Belgian Moon",Goes down with a hoppy aftertaste,4,
9/29/2018,Cowbell Brewing Company,Shindig,"Pale yellow, clear",Classic cheap sort of beer aroma,"Very carbonated, light, slightly malty sweet; the bitterness stands out way more however",Slightly malty finish,4,
10/13/2018,New Ontario Brewing Co. ,Tree Topper Red Ale,"Dark Red, Clear ","Malty, caramel-y aroma, with a hint of sweetness ","Bit of hops, bit of alcohol, but nothing else really from this",Dry finish,4,
4/5/2019,Tuborg Brewery,Tuborg Gold,"Golden, clear","Smells like the most generic beer possible, i.e. like piss and worse","Tastes like a generic beer, really fizzy, no defining qualities",Hint of malts,4,
5/3/2019,Viking Olgerd,Viking Sterkur,"Dark yellow, clear ","Hint of orange, coppery, acidic","Quite crisp, not a lot of flavour, slightly bitter, strong ""alcohol"" taste, hint of honey",Alcoholic finish,4,
N/A,Waterloo Brewing,Waterloo IPA,"Murky, amber",Light aroma,Sharp and imbalanced bitter flavour,"Slight sweet, hoppy aftertaste",4,
2/18/2019,Boshkung Brewing Co. ,35 & 118 Cream Ale,"Straw yellow, clear","wheat aroma, a bit sugary","Crisp, light, not much to this beer. It tastes like nothing",Slightly wheaty finish,3,
N/A,Greene king,Abbot Ale,"Clear, yellow ochre ","Unpleasant smell, bitter",Tastes of tequila,Slight caramel aftertaste,3,
N/A,Moosehead Breweries,Cracked Canoe,"Light straw color, transparent",Light beer aroma,"Unexpected sharp bitter taste, sort of tart; very bubbly, tastes like low-quality beer",Clean finish/no flavours leftover,3,
1/6/2019,Beau's Brewing Co,Dortmunder,"Slightly murky, yellow ochre",Malty aroma ,"Awkwardly bitter, malty, dry",Slightly bitter finish,3,
N/A,Abe Erb,Jumis (Baltic Porter),Dark brown,Not a lot of aroma with this beer,"Slightly sweet, sour",Sweet finish followed by a cough syrup like taste,3,
4/24/2019,Big Rig Brewery ,Midnight Kissed My Cow (Double Chocolate Milk Stout),Black,"Coffee, chocolate, nuts","Really fizzy -- almost prickly. Definitely getting milk chocolate, as well as a metallic, coppery taste, but that's pretty much it -- nothing much else ","Initially bitter, then you get some of that milk chocolate taste",3,
4/30/2019,Viking Brewery,Viking 2.25%,"Straw yellow, clear","Floral notes, slightly bready","Fairly generic beer: slightly bready, sweet, fizzy, crisp",No finish,3,
3/8/2019,Hespeler Brewing Co.,Village IPA,"Red Orange, clear","Citrus-y, hoppy, standard IPA aromas",Tastes like an IPA,Dry finish,3,
3/7/2019,Mill Street Brewery,White Space Wheat,"Orange, translucent","Wonderful aroma: orange, citrus, hint of tea,",Tastes like watered down beer along with some tea. I literally made this the other day with green tea and an ale,No finish,3,
N/A,Molson Coors Canada,Banquet,"Pale yellow, fizzy, translucent",Smells like a mass-produced beer,Completely bitter,Bitter finish,2,
4/29/2019,Tuborg Brewery,Grøn Tuborg,"Yellow, clear","Bready, malty notes, hints of metallic aroma","Tastes like a generic beer, fizzy, crispy, pretty much getting nothing from this beer",No finish,2,
N/A,Steam Whistle,Steam Whistle,"Fizzy, yellow ochre",Not much aroma,"Tastes like a mass-produced beer, super bitter",Bitter finish,2,
4/28/2019,Ölgerðin Egill Skallagrímsson,Egils Pilsner,"Straw, golden","Hint of sulfur, wheaty","Oddly bitter; sharp unpleasant, tangy taste; metallic; really strongly flavoured for a light looking beer",Sweet-ish finish,1,
N/A,Nickel Brook,Immodest Imperial IPA,"Amber-coloured, murky","Sweet, pineapple aroma","Tries to be sweet and citrus-y, but misses the mark. Tastes more like the peel than the citrus itself","Bitter flavours linger in your mouth, long after the beer is gone ",1,
N/A,Moosehead Breweries,Truly Spiked and Sparkling,"Clear, transparent, bubbly",Sprite,"Slightly like soda, then the alcohol taste comes through. But the taste is super flat and watered down",Like drinking vodka,1,
1/25/2019,Beau's ,CDN pale ale,Cloudy orange,"Citrus, orange, tangy aroma","Unexpectedly bitter (not from hops), no hints of any other flavours","Bitter, super astringent (like eating the orange peel) finish",0,
9/20/2018,Old Tomorrow,Monty's Aged Ryed Ale ,Cloudy dark orange,Light whiskey aroma ,"Really bitter, oaky flavour. Super strong alcohol taste. Not a huge fan of it; kind of like a whiskey, but much worse","Bitter, oaty finish",0,
1/25/2019,Creemore Springs,Premium Lager,"Clear, reddish brown","Slight lychee aroma, otherwise standard piss smell","Weirdly bitter, a bit crisp",Bitter finish,0,
N/A,Collective Arts Brewing,Prophets and Nomads,"Light yellow, translucent","Unpleasant scent, sort of like urine","Does not taste like a beer, had trouble swallowing this one. Salty and nasty ",Foul ,0,
N/A,Barnstormer Brewing Co.,Wind Shear Watermelon Summer Ale,"Yellow, Clear ","Fruity, hint of watermelon fizz","Terribly unbalanced; watermelon flavours aren't sweet, very nasty bitternness, not much beer flavours to it",Goes down relatively clean ,0,
